Player,Span,Matches,Inns,Balls,Runs,Wickets,Economy,Bowling SR,No of 4Wicket Haul,No of 5Wicket haul
MS Kasprowicz (AUS),1995-2005,43,42,2225,1674,67,4.51,33.2,1,2
Khaled Mahmud (BDESH),1998-2006,77,75,3385,2865,67,5.07,50.5,1,0
C Sharma (INDIA),1983-1994,65,63,2835,2336,67,4.94,42.3,0,0
DT Johnston (IRE),2006-2013,67,63,2930,2115,66,4.33,44.3,1,1
CC Lewis (ENG),1990-1998,53,49,2625,1942,66,4.43,39.7,4,0
Maninder Singh (INDIA),1983-1993,59,57,3133,2066,66,3.95,47.4,1,0
T Panyangara (ZIM),2004-2016,65,65,3242,3024,65,5.59,49.8,0,0
AL Phehlukwayo (SA),2016-2019,52,50,2077,1936,65,5.59,31.9,3,0
C White (ENG),1994-2003,51,50,2364,1726,65,4.38,36.3,1,1
A Zampa (AUS),2016-2019,48,48,2480,2363,65,5.71,38.1,1,0
A Mishra (INDIA),2003-2016,36,34,1917,1511,64,4.72,29.9,2,2
DJ Nash (NZ),1992-2002,81,78,3416,2622,64,4.6,53.3,1,0
SM Sharif (SCOT),2011-2019,44,44,2129,1776,64,5,33.2,2,1
AR Cusack (IRE),2007-2015,59,52,1953,1510,63,4.63,31,1,1
NM Hauritz (AUS),2002-2011,58,56,2724,2152,63,4.74,43.2,2,0
NL McCullum (NZ),2009-2015,84,81,3536,2956,63,5.01,56.1,0,0
Mujeeb Ur Rahman (AFG),2017-2019,40,39,2153,1414,63,3.94,34.1,2,1
AD Mullally (ENG),1996-2001,50,49,2699,1728,63,3.84,42.8,2,0
SLV Raju (INDIA),1990-1996,53,52,2770,2014,63,4.36,43.9,2,0
BA Reid (AUS),1986-1992,61,61,3250,2203,63,4.06,51.5,0,1
Sarfraz Nawaz (PAK),1973-1984,45,45,2412,1463,63,3.63,38.2,4,0
DE Bollinger (AUS),2009-2011,39,39,1942,1482,62,4.57,31.3,3,2
SW Tait (AUS),2007-2011,35,34,1688,1461,62,5.19,27.2,2,0
DT Hondo (ZIM),2001-2005,56,56,2381,2171,61,5.47,39,3,0
DR Smith (WI),2004-2015,105,73,2726,2285,61,5.02,44.6,3,1
Syed Rasel (BDESH),2005-2010,52,52,2657,2051,61,4.63,43.5,1,0
MA Wood (ENG),2015-2019,51,50,2585,2385,61,5.53,42.3,2,0
CJ Anderson (NZ),2013-2017,49,43,1485,1502,60,6.06,24.7,2,1
FH Edwards (WI),2003-2009,50,49,2138,1812,60,5.08,35.6,0,2
RM Haq (SCOT),2006-2015,54,51,2633,1975,60,4.5,43.8,2,1
JC Tredwell (ENG),2010-2015,45,44,2104,1666,60,4.75,35,3,0
ALF de Mel (SL),1982-1987,57,57,2735,2237,59,4.9,46.3,1,2
NA Foster (ENG),1984-1989,48,48,2627,1836,59,4.19,44.5,0,0
Gulbadin Naib (AFG),2011-2019,65,60,2194,1968,59,5.38,37.1,2,1
Hamid Hassan (AFG),2009-2019,38,37,1734,1330,59,4.6,29.3,2,1
JDS Neesham (NZ),2013-2019,59,55,1772,1814,59,6.14,30,2,1
Shadab Khan (PAK),2017-2019,43,41,2088,1750,59,5.02,35.3,3,0
Sikandar Raza (ZIM),2013-2019,97,71,2846,2269,59,4.78,48.2,0,0
Tapash Baisya (BDESH),2002-2007,56,56,2608,2452,59,5.64,44.2,2,0
KM Jarvis (ZIM),2009-2019,49,49,2362,2088,58,5.3,40.7,2,0
HK Olonga (ZIM),1995-2003,50,49,2059,1977,58,5.76,35.5,2,2
GC Small (ENG),1987-1992,53,53,2793,1942,58,4.17,48.1,1,0
Mudassar Bukhari (NL),2007-2014,46,46,2036,1601,57,4.71,35.7,0,0
MJ Clarke (AUS),2003-2015,245,106,2585,2146,57,4.98,45.3,1,1
GRJ Matthews (AUS),1984-1993,59,54,2808,2004,57,4.28,49.2,0,0
DS Mohanty (INDIA),1997-2001,45,44,1996,1662,57,4.99,35,1,0
T Mupariwa (ZIM),2004-2016,40,40,2019,1690,57,5.02,35.4,3,0
Arshad Khan (PAK),1993-2006,58,56,2823,1948,56,4.14,50.4,1,0
R Telemachus (SA),1998-2006,37,37,1918,1565,56,4.89,34.2,1,0
XJ Doherty (AUS),2010-2015,60,56,2792,2224,55,4.77,50.7,3,0
AF Giles (ENG),1997-2005,62,57,2856,2069,55,4.34,51.9,0,1
Tauseef Ahmed (PAK),1982-1990,70,67,3250,2247,55,4.14,59,1,0
RN ten Doeschate (NL),2006-2011,33,33,1580,1327,55,5.03,28.7,3,0
JR Thomson (AUS),1975-1985,50,50,2696,1942,55,4.32,49,1,0
JV Coney (NZ),1979-1987,88,70,2931,2039,54,4.17,54.2,1,0
N Pradeep (SL),2012-2019,42,40,1996,1998,54,6,36.9,2,0
HH Pandya (INDIA),2016-2019,54,53,2368,2195,54,5.56,43.8,0,0
AR Adams (NZ),2001-2007,42,40,1885,1643,53,5.22,35.5,2,1
SR Clark (AUS),2005-2009,39,38,1829,1477,53,4.84,34.5,2,0
Mohammad Naveed (UAE),2014-2019,39,39,1938,1757,53,5.43,36.5,0,1
LS Pascoe (AUS),1977-1982,29,28,1568,1066,53,4.07,29.5,4,1
SMSM Senanayake (SL),2012-2015,49,47,2358,1874,53,4.76,44.4,1,0
GI Allott (NZ),1997-2000,31,31,1528,1207,52,4.73,29.3,4,0
NM Coulter-Nile (AUS),2013-2019,32,32,1678,1555,52,5.56,32.2,1,0
KSC de Silva (SL),1996-2000,38,37,1619,1323,52,4.9,31.1,0,0
DS Lehmann (AUS),1996-2005,117,62,1793,1445,52,4.83,34.4,1,0
TM Moody (AUS),1987-1999,76,66,2797,2014,52,4.32,53.7,0,0
KA Pollard (WI),2007-2019,107,74,2116,2025,52,5.74,40.6,0,0
DJ Willey (ENG),2015-2019,46,45,1971,1889,52,5.75,37.9,2,0
A Dananjaya (SL),2012-2019,36,34,1773,1506,51,5.09,34.7,2,2
VC Drakes (WI),1995-2004,34,34,1640,1293,51,4.73,32.1,3,2
BJ McCarthy (IRE),2016-2019,27,27,1389,1360,51,5.87,27.2,2,1
AM Blignaut (ZIM),1999-2010,54,53,2348,2063,50,5.27,46.9,2,0
GJ Maxwell (AUS),2012-2019,110,86,2698,2525,50,5.61,53.9,2,0
JA Morkel (Afr/SA),2004-2012,58,52,2073,1899,50,5.49,41.4,2,0
PM Seelaar (NL),2006-2019,41,41,1901,1476,50,4.65,38,1,0
T Thushara (SL),2008-2010,38,38,1676,1393,50,4.98,33.5,0,1
JH Davey (SCOT),2010-2019,31,29,1301,1082,49,4.99,26.5,1,2
CD McMillan (NZ),1997-2007,197,74,1879,1717,49,5.48,38.3,0,0
AR Nurse (WI),2016-2019,54,49,2384,2125,49,5.34,48.6,2,0
JS Patel (NZ),2005-2017,43,42,2014,1691,49,5.03,41.1,0,0
GR Dilley (ENG),1979-1988,36,36,2043,1291,48,3.79,42.5,3,0
JK Kamande (KENYA),1999-2011,86,71,2619,2169,48,4.96,54.5,1,0
S Lee (AUS),1995-2001,45,43,1706,1245,48,4.37,35.5,1,1
JF Mooney (IRE),2006-2015,64,50,1797,1635,48,5.45,37.4,2,0
CH Morris (SA),2013-2019,42,40,1894,1756,48,5.56,39.4,2,0
ARC Fraser (ENG),1989-1999,42,42,2392,1412,47,3.54,50.8,1,0
Shahadat Hossain (BDESH),2006-2013,51,50,2198,2143,47,5.84,46.7,0,0
M Amarnath (INDIA),1975-1989,85,64,2730,1971,46,4.33,59.3,0,0
PW Borren (NL),2006-2014,58,51,1979,1620,46,4.91,43,1,0
N Chopra (INDIA),1998-2000,39,37,1835,1286,46,4.2,39.8,1,1
AC Evans (SCOT),2009-2019,36,35,1678,1499,46,5.35,36.4,2,0
NAM McLean (WI),1996-2003,45,45,2120,1729,46,4.89,46,0,0
Mirwais Ashraf (AFG),2009-2016,46,45,2009,1360,46,4.06,43.6,1,0
Mohammad Asif (Asia/PAK),2005-2010,38,36,1941,1524,46,4.71,42.1,0,0
SB O'Connor (NZ),1997-2000,38,38,1487,1396,46,5.63,32.3,1,2
Samiullah Shinwari (AFG),2009-2019,84,65,2111,1729,46,4.91,45.8,1,0
BC Strang (ZIM),1995-2001,49,48,2494,1718,46,4.13,54.2,1,1
MR Whitney (AUS),1983-1993,38,38,2106,1249,46,3.55,45.7,2,0
RDB Croft (ENG),1996-2001,50,49,2466,1743,45,4.24,54.8,0,0
GF Labrooy (SL),1986-1992,44,44,2308,1876,45,4.87,51.2,1,1
NO Miller (WI),2008-2018,50,46,2125,1660,45,4.68,47.2,2,0
CM Old (ENG),1973-1981,32,31,1755,999,45,3.41,39,2,0
H Osinde (CAN),2006-2013,42,41,1692,1389,45,4.92,37.6,2,0
AR Patel (INDIA),2014-2017,38,35,1908,1409,45,4.43,42.4,0,0
DN Patel (NZ),1987-1997,75,69,3251,2261,45,4.17,72.2,0,0
EC Rainsford (ZIM),2004-2010,39,39,1907,1401,45,4.4,42.3,1,1
Taskin Ahmed (BDESH),2014-2017,32,31,1413,1401,45,5.94,31.4,2,1
AR Whittall (ZIM),1996-2000,63,62,3085,2251,45,4.37,68.5,0,0
HS Baidwan (CAN),2008-2014,32,32,1551,1348,44,5.21,35.2,0,0
SP Davis (AUS),1986-1988,39,39,2016,1133,44,3.37,45.8,0,0
S Elworthy (SA),1998-2002,39,37,1702,1235,44,4.35,38.6,0,0
AH Gray (WI),1985-1991,25,24,1270,835,44,3.94,28.8,2,1
RJ Harris (AUS),2009-2012,21,20,1031,832,44,4.84,23.4,0,3
VJ Marks (ENG),1980-1988,34,32,1838,1135,44,3.7,41.7,0,2
MR Marsh (AUS),2011-2018,53,50,1700,1564,44,5.52,38.6,1,1
Nazmul Hossain (BDESH),2004-2012,38,37,1649,1386,44,5.04,37.4,1,0
DR Pringle (ENG),1982-1993,44,44,2379,1677,44,4.22,54,1,0
RP Snell (SA),1991-1996,42,42,2095,1574,44,4.5,47.6,2,1
DP Viljoen (ZIM),1997-2001,53,46,2075,1639,44,4.73,47.1,0,0
JC Adams (WI),1992-2001,127,56,1856,1499,43,4.84,43.1,0,1
CR Brathwaite (WI),2011-2019,44,40,1825,1766,43,5.8,42.4,2,1
CJ Jordan (ENG),2013-2016,31,31,1532,1521,43,5.95,35.6,0,1
Shapoor Zadran (AFG),2009-2019,44,44,1983,1589,43,4.8,46.1,2,0
PR Stirling (IRE),2008-2019,114,73,2392,1902,43,4.77,55.6,1,1
MA Suji (KENYA),1996-2006,64,64,2952,2190,43,4.45,68.6,1,0
KLT Arthurton (WI),1988-1999,105,44,1384,1159,42,5.02,32.9,3,0
AC Botha (IRE),2006-2011,42,33,1560,1134,42,4.36,37.1,2,0
JW Hastings (AUS),2010-2017,29,29,1486,1256,42,5.07,35.3,1,1
Imad Wasim (PAK),2015-2019,53,51,2313,1865,42,4.83,55,0,1
AR McBrine (IRE),2014-2019,42,40,2045,1489,42,4.36,48.6,0,0
SA Thomson (NZ),1990-1996,56,51,2121,1602,42,4.53,50.5,0,0
Aftab Alam (AFG),2010-2019,27,27,1257,1033,41,4.93,30.6,1,0
JAR Blain (SCOT),1999-2009,33,32,1329,1173,41,5.29,32.4,1,1
DG Cork (ENG),1992-2002,32,32,1772,1368,41,4.63,43.2,0,0
CE Cuffy (WI),1994-2002,41,41,2153,1436,41,4,52.5,1,0
S Dhaniram (CAN),2006-2010,44,41,1769,1240,41,4.2,43.1,1,1
SM Ervine (ZIM),2001-2004,42,40,1649,1561,41,5.67,40.2,0,0
HA Gomes (WI),1978-1987,83,36,1345,1045,41,4.66,32.8,2,0
AF Milne (NZ),2012-2017,40,39,1801,1581,41,5.26,43.9,0,0
L Ngidi (SA),2018-2019,22,22,1026,947,41,5.53,25,2,0
VD Philander (SA),2007-2015,30,28,1279,986,41,4.62,31.1,2,0
Amir Hamza (AFG),2012-2017,31,31,1552,1016,40,3.92,38.8,1,0
RP Arnold (SL),1997-2007,180,84,2157,1739,40,4.83,53.9,0,0
RS Bopara (ENG),2007-2015,120,74,1860,1523,40,4.91,46.5,1,0
Saleem Jaffar (PAK),1986-1990,39,39,1900,1382,40,4.36,47.5,0,0
Shaheen Shah Afridi (PAK),2018-2019,19,18,924,847,40,5.5,23.1,4,1
SJ Benn (WI),2008-2016,47,46,2387,1913,39,4.8,61.2,3,0
PT Collins (WI),1999-2005,30,30,1577,1212,39,4.61,40.4,0,1
SS Cottrell (WI),2015-2019,30,28,1314,1293,39,5.9,33.6,1,1
WW Davis (WI),1983-1988,35,35,1923,1302,39,4.06,49.3,0,1
GD Elliott (NZ),2008-2016,83,56,1302,1179,39,5.43,33.3,1,0
WK McCallan (IRE),2006-2009,39,35,1804,1208,39,4.01,46.2,2,0
H Masakadza (ZIM),2001-2019,209,85,1844,1636,39,5.32,47.2,0,0
TBA May (AUS),1987-1995,47,46,2504,1772,39,4.24,64.2,0,0
MO Odumbe (KENYA),1996-2003,61,52,2237,1807,39,4.84,57.3,1,0
IS Sodhi (NZ),2015-2019,31,30,1548,1430,39,5.54,39.6,1,0
Akram Raza (PAK),1989-1995,49,48,2601,1611,38,3.71,68.4,0,0
D Bishoo (WI),2011-2019,42,40,2022,1668,38,4.94,53.2,0,0
MG Hughes (AUS),1988-1993,33,33,1639,1115,38,4.08,43.1,1,0
AJ Ireland (ZIM),2005-2007,26,26,1326,1115,38,5.04,34.8,0,0
Nadeem Ahmed (HKG),2004-2018,25,25,1327,932,38,4.21,34.9,4,0
Rohan Mustafa (UAE),2014-2019,34,33,1583,1245,38,4.71,41.6,1,1
R Vinay Kumar (INDIA),2010-2013,31,31,1436,1423,38,5.94,37.7,1,0
TJ Friend (ZIM),2000-2004,51,45,1930,1779,37,5.53,52.1,1,0
MR Gillespie (NZ),2006-2009,32,31,1521,1369,37,5.4,41.1,1,0
EE Hemmings (ENG),1982-1991,33,32,1752,1294,37,4.43,47.3,1,0
M Kartik (INDIA),2002-2007,37,36,1907,1612,37,5.07,51.5,0,1
Mehidy Hasan Miraz (BDESH),2017-2019,38,37,1957,1520,37,4.66,52.8,1,0
KS Williamson (NZ),2010-2019,149,65,1467,1310,37,5.35,39.6,1,0
HMCM Bandara (SL),2006-2010,31,28,1470,1232,36,5.02,40.8,2,0
EAE Baptiste (WI),1983-1990,43,43,2214,1511,36,4.09,61.5,0,0
MG Bevan (AUS),1994-2004,232,67,1966,1655,36,5.05,54.6,0,0
JM Davison (CAN),2003-2011,32,31,1435,1067,36,4.46,39.8,0,0
AIC Dodemaide (AUS),1988-1993,24,24,1327,753,36,3.4,36.8,1,1
SB Doull (NZ),1992-2000,42,42,1745,1459,36,5.01,48.4,1,0
GA Gooch (ENG),1976-1995,125,60,2066,1516,36,4.4,57.3,0,0
S Randiv (SL),2009-2016,31,29,1437,1214,36,5.06,39.9,0,1
Khurram Chohan (CAN),2009-2014,25,24,1186,1029,36,5.2,32.9,3,1
SK Raina (INDIA),2005-2018,226,101,2126,1811,36,5.11,59,0,0
I Wardlaw (SCOT),2013-2015,22,21,1108,1036,36,5.61,30.7,2,0
CJ Chibhabha (ZIM),2005-2018,103,58,1667,1615,35,5.81,47.6,1,0
M Hendrick (ENG),1973-1981,22,22,1248,681,35,3.27,35.6,2,1
NC Johnson (ZIM),1998-2000,48,39,1503,1220,35,4.87,42.9,1,0
Naeem Islam (BDESH),2008-2014,59,48,1743,1407,35,4.84,49.8,0,0
CO Obuya (KENYA),2001-2014,104,49,1818,1637,35,5.4,51.9,0,1
MRJ Watt (SCOT),2016-2019,27,27,1443,1033,35,4.29,41.2,1,0
BA Williams (AUS),2002-2004,25,24,1203,814,35,4.05,34.3,1,2
KJ Abbott (SA),2013-2016,28,27,1303,1051,34,4.83,38.3,2,0
L Balaji (INDIA),2002-2009,30,30,1447,1344,34,5.57,42.5,1,0
TL Best (WI),2004-2014,26,26,1300,1157,34,5.34,38.2,2,0
PKD Chase (IRE),2015-2018,25,24,1238,1356,34,6.57,36.4,0,0
OD Gibson (WI),1995-1997,15,15,739,621,34,5.04,21.7,2,2
VB John (SL),1982-1987,45,45,2311,1655,34,4.29,67.9,0,0
RDM Leverock (BMUDA),2006-2009,32,32,1684,1123,34,4,49.5,0,1
RR Powar (INDIA),2004-2007,31,29,1536,1191,34,4.65,45.1,0,0
JA Rennie (ZIM),1993-2000,44,43,1965,1564,34,4.77,57.7,0,0
KW Richardson (AUS),2013-2019,22,22,1143,1061,34,5.56,33.6,0,1
Tahir Naqqash (PAK),1980-1985,40,37,1596,1240,34,4.66,46.9,0,0
Usman Shinwari (PAK),2017-2019,17,17,768,633,34,4.94,22.5,3,2
N Vanua (PNG),2014-2019,23,23,1060,900,34,5.09,31.1,4,0
KCG Benjamin (WI),1992-1996,26,26,1319,923,33,4.19,39.9,0,0
U Bhatti (CAN),2006-2010,36,35,1630,1149,33,4.22,49.3,1,0
JG Bracewell (NZ),1983-1990,53,50,2447,1884,33,4.61,74.1,0,0
ST Gabriel (WI),2016-2019,25,25,1148,1134,33,5.92,34.7,0,0
YK Pathan (INDIA),2008-2012,57,50,1490,1365,33,5.49,45.1,0,0
E Schiferli (NL),2002-2013,30,30,1294,1008,33,4.67,39.2,3,0
Shabbir Ahmed (PAK),1999-2005,32,32,1642,1192,33,4.35,49.7,0,0
Sikander Bakht (PAK),1977-1989,27,27,1277,860,33,4.04,38.6,1,0
EO Simons (SA),1994-1995,23,23,1212,810,33,4,36.7,1,0
MP Stoinis (AUS),2015-2019,41,39,1414,1446,33,6.13,42.8,0,0
SD Anurasiri (SL),1986-1994,45,43,2100,1464,32,4.18,65.6,0,0
RD Berrington (SCOT),2008-2019,78,51,1394,1228,32,5.28,43.5,1,0
PP Chawla (INDIA),2007-2011,25,25,1312,1117,32,5.1,41,2,0
AC Dale (AUS),1997-2000,30,30,1596,979,32,3.68,49.8,0,0
DS de Silva (SL),1975-1985,41,40,2076,1557,32,4.5,64.8,0,0
MJ Hoggard (ENG),2001-2006,26,26,1306,1152,32,5.29,40.8,0,1
AJ Hollioake (ENG),1996-1999,35,32,1208,1019,32,5.06,37.7,2,0
Imran Haider (UAE),2017-2019,20,20,943,841,32,5.35,29.4,2,0
JM Kemp (Afr/SA),2001-2007,85,48,1303,1015,32,4.67,40.7,0,0
KTGD Prasad (SL),2006-2015,24,24,1015,976,32,5.76,31.7,0,0
S Prasanna (SL),2011-2019,40,39,1945,1767,32,5.45,60.7,0,0
Rizwan Cheema (CAN),2008-2013,33,32,1330,1095,32,4.93,41.5,0,0
GB Troup (NZ),1976-1985,22,22,1180,791,32,4.02,36.8,3,0
DL Underwood (ENG),1973-1982,26,24,1278,734,32,3.44,39.9,1,0
BV Vitori (ZIM),2011-2018,24,24,1193,1149,32,5.77,37.2,0,2
Arshad Ayub (INDIA),1987-1990,32,32,1769,1216,31,4.12,57,0,1
JW Dernbach (ENG),2011-2013,24,24,1234,1308,31,6.35,39.8,1,0
KS Lokuarachchi (SL),2003-2007,21,21,1011,725,31,4.3,32.6,1,0
MJ Mason (NZ),2003-2010,26,25,1179,1024,31,5.21,38,1,0
MM Sharma (INDIA),2013-2015,26,25,1121,1020,31,5.45,36.1,1,0
Zahoor Khan (UAE),2017-2019,17,17,750,703,31,5.62,24.1,0,1
Abdur Rehman (PAK),2006-2014,31,31,1624,1142,30,4.21,54.1,1,0
CEH Croft (WI),1977-1981,19,19,1070,620,30,3.47,35.6,0,1
GA Hick (ENG),1991-2001,120,47,1236,1026,30,4.98,41.2,0,1
RK Illingworth (ENG),1991-1996,25,25,1501,1059,30,4.23,50,0,0
AS Joseph (WI),2016-2019,22,21,1033,1107,30,6.42,34.4,1,1
SI Mahmood (ENG),2004-2009,26,25,1197,1169,30,5.85,39.9,1,0
DA Marillier (ZIM),2000-2003,48,35,1574,1235,30,4.7,52.4,1,0
PR Adams (SA),1996-2003,24,23,1109,815,29,4.4,38.2,0,0
RK Chauhan (INDIA),1993-1997,35,34,1634,1216,29,4.46,56.3,0,0
MD Crowe (NZ),1982-1995,143,46,1296,954,29,4.41,44.6,0,0
TBM de Leede (NL),1996-2007,29,29,1139,999,29,5.26,39.2,1,0
Ehsan Khan (HKG),2016-2018,15,15,807,594,29,4.41,27.8,1,0
Hasibul Hossain (BDESH),1995-2004,32,32,1375,1338,29,5.83,47.4,1,0
BW Hilfenhaus (AUS),2007-2012,25,25,1216,1075,29,5.3,41.9,0,1
NM Lyon (AUS),2012-2019,29,29,1626,1334,29,4.92,56,1,0
Manzoor Elahi (PAK),1984-1995,54,49,1743,1262,29,4.34,60.1,0,0
BA Murphy (ZIM),2000-2003,31,29,1422,1130,29,4.76,49,0,0
D Pretorius (SA),2016-2019,22,22,1022,813,29,4.77,35.2,0,0
FA Rose (WI),1997-2000,27,27,1326,1046,29,4.73,45.7,0,1
RJ Sidebottom (ENG),2001-2010,25,25,1277,1039,29,4.88,44,0,0
CM Wright (SCOT),2006-2009,20,19,861,663,29,4.62,29.6,1,0
Ahmed Raza (UAE),2014-2019,28,28,1505,1011,28,4.03,53.7,1,0
IG Butler (NZ),2002-2010,26,25,1109,1038,28,5.61,39.6,1,0
WW Hinds (WI),1999-2010,119,34,945,837,28,5.31,33.7,0,0
